VALUE,COUNT
1841,1807561
1842,2203180
1843,1929576
1844,1768016
1845,1706121
1846,1640050
1847,1671915
1848,1805014
1849,1734183
1850,1643879
1851,1634964
1852,1658843
1853,1755982
1854,1969102
1855,1929890
1856,1841678
1857,1697814
1858,1655622
1859,1684742
1860,1814657
1861,1843458
1862,1687918
1863,1641264
1864,1673313
1865,1719635
1866,1972262
1867,1934814
1868,1763974
1869,1674585
1870,1627708
1871,1630356
1872,1714395
1873,1765043
1874,1633493
1875,1588464
1876,1603713
1877,1656433
1878,1796924
1879,1920492
1880,1753196
1881,1649386
1882,1668872
1883,1592161
1884,1654560
1885,1747305
1886,1610879
1887,1549850
1888,1568562
1889,1615251
1890,1735559
1891,1918222
1892,1760482
1893,1628092
1894,1576977
1895,1555247
1896,1610305
1897,1725672
1898,2183295
1899,1577692
1900,1603140
1901,1629873
1902,1703695
1903,1891306
1904,1808123
1905,1677876
1906,1618394
1907,1567823
1908,1600516
1909,1719509
1910,1650116
1911,1572974
1912,1551018
1913,1577515
1914,1655590
1915,1826954
1916,1794372
1917,1651918
1918,1585633
1919,1550858
1920,1571601
1921,1679714
1922,1694291
1923,1569997
1924,1535289
1925,1555825
1926,1615288
1927,1760748
1928,1798306
1929,1654472
1930,1567273
1931,1538118
1932,1535801
1933,1601421
1934,1642175
1935,1616440
1936,1500924
1937,1523279
1938,1566159
1939,1691804
1940,1808921
1941,1664624
1942,1567186
1943,1539107
1944,1698875
1945,1592047
1946,1663858
1947,1555289
1948,1535494
1949,1609228
1950,1566964
1951,1675755
1952,1819373
1953,1681393
1954,1567724
1955,1531457
1956,1492649
1957,1528397
1958,1627858
1959,1539084
1960,1474325
1961,1477411
1962,1510398
1963,1593949
1964,1764379
1965,1664531
1966,1547296
1967,1504038
1968,1470579
1969,1511147
1970,1606104
1971,1543663
1972,1464751
1973,1454589
1974,1517881
1975,1560230
1976,1743126
1977,1698962
1978,1564360
1979,1494039
1980,1471987
1981,1490033
1982,1602613
1983,1575995
1984,1512557
1985,1461938
1986,1481799
1987,1544177
1988,1696370
1989,1725114
1990,1583933
1991,1526990
1992,1491024
1993,1530105
1994,1559383
1995,1615807
1996,1488580
1997,1454696
1998,1477348
1999,1516402
2000,1639479
2001,1746940
2002,1603180
2003,1521135
2004,1496485
2005,1456502
2006,1521203
2007,1630402
2008,1516875
2009,1483808
2010,1505017
2011,1503587
2012,1612139
2013,1797162
2014,1617641
2015,1518854
2016,1529503
2017,1468698
2018,1508410
2019,1644860
2020,1517053
2021,1445963
2022,1456122
2023,1474362
2024,1550558
2025,1710934
2026,1600846
2027,1490106
2028,1444760
2029,1421414
2030,1446728
2031,1585021
2032,1515648
2033,1428650
2034,1430589
2035,1442799
2036,1513361
2037,1676081
2038,1618155
2039,1495120
